"Valid taxon;;;""absolute fecundity (no. oocytes)"";;;""acid tolerance"";""body length (cm)"";;;""climate change affected species according to <a href=""""http://www.climate-and-freshwater.info"""" target=""""_blank"""">www.climate-and-freshwater.info</a> (caf)"";;;;;;;;;;;""egg diameter (mm)"";;;""feeding diet (adult)"";""feeding habitat"";""female maturity (years)"";;;;;habitat;;;""habitat (fiBS)"";;;""habitat degradation tolerance"";""HD threat"";""incubation period (days)"";;;""larval length (cm)"";;;""larval stage duration (days)"";;;""length weight regression"";""life span (years)"";;;migration;""migration (fiBS)"";;;;""oxygen tolerance"";""parental care"";""relative fecundity (no. oocytes/g)"";;;""reproduction (fiBS)"";;;;;;;;;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";salinity;;;;;""shape factor"";;;;""spawning habitat"";""spawning time"";;""swimming factor"";;;""temperature tolerance"";""toxicity tolerance"";""trophy (fiBS)"";;;;;;;""water quality tolerance – general"";""Imported file"";",,
"Genus;Species;ID-fwe;fe1;fe2;fe3;""acid tolerance"";bl1;bl2;bl3;""rivers cold"";""rivers temp"";""rivers warm"";""lakes cold"";""lakes temp"";""lakes warm"";""wetlands cold"";""wetlands temp"";""wetlands warm"";""climate change impact"";winner/loser;ed1;ed2;ed3;""feeding diet (adult)"";""feeding habitat"";ma1;ma2;ma3;ma4;ma5;pel;ben;dem;indifferent;rheophil;stagnophil;""habitat degradation tolerance"";""HD threat"";ip1;ip2;ip3;ll1;ll2;ll3;ld1;ld2;ld3;""length weight regressionInfo"";ls1;ls2;ls3;migration;short;medium;long;type;""oxygen tolerance"";""parental care"";fr1;fr2;fr3;lithophilic;litho-pelagophilic;pelagophilic;phytophilic;phyto-lithophilic;psammophilic;ostracophilic;speleophilic;marine;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";fre;fbr;brm;fbm;fma;sh1;sh2;sh3;sh4;""spawning habitat"";st1;st2;sw1;sw2;sw3;""temperature tolerance"";""toxicity tolerance"";""filter feeder"";herbivorous;inverti-piscivorous;invertivorous;omnivorous;piscivorous;planktivorous;""water quality tolerance – general"";genus;species",,
Acipenser;baerii;759;0;0;1;;0;0;1;;;;;;;;;;;;0;0;1;invert;ben;0;0;0;0;1;0;0;1;;;;;V;0;1;0;0;0;1;;;;;0;0;1;pot;;;;;;no;1;0;0;;;;;;;;;;lith;;rheo;0;1;0;0;0;;;;;rheo;1;0;;;;eury;;;;;;;;;;Acipenser;baerii,,
Acipenser;gueldenstaedtii;420;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;0;0;1;;;;;0;0;1;dia;;;;;im;no;0;1;0;;;;;;;;;;lithpel;sin;rheo;0;0;0;1;0;0;0;0;1;rheo;1;0;1;0;0;eury;im;;;;;;;;tol;Acipenser;gueldenstaedtii,,
Acipenser;naccarii;329;;;;intol;0;0;1;;;;;;;;;;;;;;;invert;ben;0;0;0;0;1;0;0;1;;;;im;;0;1;0;;;;1;0;0;;1;0;0;dia;;;;;im;no;;;;;;;;;;;;;;sin;eury;0;0;0;1;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;im;Acipenser;naccarii,,
Acipenser;nudiventris;370;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;;;;;;;;0;0;1;dia;;;;;im;no;;;;;;;;;;;;;lithpel;sin;rheo;0;0;0;1;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;tol;Acipenser;nudiventris,,
Acipenser;ruthenus;213;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;invert;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;;;;;;;0,000009*(x^2,"9615);0;0;1;pot;;;;;im;no;;;;;;;;;;;;;lithpel;sin;""rheo A"";0;1;0;0;0;0;0;0;1;rheo;1;0;1;0;0;eury;im;;;;;;;;tol;Acipenser;ruthenus"
Acipenser;stellatus;371;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;;;;;;;;0;0;1;dia;;;;;im;no;1;0;0;;;;;;;;;;lithpel;sin;rheo;0;0;0;1;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;tol;Acipenser;stellatus,,
Acipenser;sturio;214;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;invert;ben;0;0;0;0;1;0;0;1;0;1;0;intol;II;1;0;0;;;;;;;;0;0;1;dia;0;0;1;ana;im;no;1;0;0;1;0;0;0;0;0;0;0;0;lith;sin;rheo;0;0;0;1;0;0;0;0;1;rheo;1;0;1;0;0;eury;im;0;0;0;1;0;0;0;im;Acipenser;sturio,,
Huso;huso;334;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;pisci;ben;0;0;0;0;1;0;0;1;;;;im;V;0;1;0;;;;;;;;0;0;1;dia;;;;;intol;no;1;0;0;;;;;;;;;;lithpel;sin;limno;0;0;0;1;0;;;;;rheo;1;0;;;;eury;intol;;;;;;;;tol;Huso;huso,,
Polyodon;spathula;544;;;;intol;;;;;;;;;;;;;;;;;;plankt;wc;;;;;;;;;;;;tol;;;;;;;;;;;;;;;;;;;;intol;no;;;;;;;;;;;;;;sin;rheo;;;;;;;;;;rheo;;;;;;eury;;;;;;;;;tol;Polyodon;spathula,,
Anguilla;anguilla;222;0;0;1;tol;0;0;1;;;;;;;;;;;;1;0;0;omni;ben;0;0;0;0;1;0;0;1;1;0;0;tol;;;;;1;0;0;;;;;0;0;1;dia;0;0;1;cata;tol;no;0;0;1;0;0;0;0;0;0;0;0;1;pel;sin;eury;0;0;0;1;0;0;0;0;1;limno;1;0;0;0;1;eury;tol;0;0;1;0;0;0;0;tol;Anguilla;anguilla,,
Atherina;boyeri;224;1;0;0;im;1;0;0;;;;;;;;;;;;0;1;0;plankt;wc;1;0;0;0;0;0;0;1;;;;im;;;;;;;;;;;;1;0;0;dia;;;;;im;no;;;;;;;;;;;;;;pro;limno;0;0;0;1;0;0;0;0;1;limno;0;1;0;1;0;eury;im;;;;;;;;im;Atherina;boyeri,,
Atherina;hepsetus;447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina;hepsetus,,
Alosa;alosa;217;0;0;1;intol;0;0;1;;;;;;;;;;;;0;1;0;plankt;wc;0;0;0;0;1;1;0;0;0;1;0;intol;;1;0;0;0;0;1;1;0;0;;0;1;0;dia;0;0;1;ana;intol;no;0;1;0;1;0;0;0;0;0;0;0;0;;sin;rheo;0;0;0;1;0;0;0;0;1;rheo;1;0;1;0;0;eury;intol;0;0;0;0;0;0;1;intol;Alosa;alosa,,
Alosa;fallax;218;0;0;1;intol;0;0;1;;;;;;;;;;;;1;0;0;plankt;wc;0;0;0;0;1;1;0;0;0;1;0;im;;1;0;0;0;1;0;;;;;0;1;0;dia;0;1;0;ana;intol;no;0;1;0;0;0;0;0;0;1;0;0;0;;sin;rheo;1;0;0;0;0;0;1;0;0;rheo;1;0;1;0;0;eury;im;0;0;0;0;0;0;1;intol;Alosa;fallax,,
Alosa;immaculata;443;0;0;1;;0;1;0;;;;;;;;;;;;;;;;wc;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;1;0;0;dia;;;;;;;0;0;1;;;;;;;;;;;;limno;0;0;0;1;0;;;;;;0;1;;;;;;;;;;;;;;Alosa;immaculata,,
Alosa;tanaica;375;;;;;1;0;0;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;1;0;0;dia;;;;;;no;;;;;;;;;;;;;;;limno;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;Alosa;tanaica,,
Clupeonella;cultriventris;809;1;0;0;intol;1;0;0;;;;;;;;;;;;;;;plankt;wc;0;1;0;0;0;1;0;0;;;;;;1;0;0;;;;;;;;1;0;0;dia;;;;;tol;no;;;;;;;;;;;;;;;eury;0;0;0;1;0;;;;;;1;0;;;;eury;;;;;;;;;tol;Clupeonella;cultriventris,,
Cobitis;bilineata;471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis;bilineata,,
Cobitis;elongata;382;;;;intol;1;0;0;;;;;;;;;;;;;;;;ben;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;1;0;0;;;;;;tol;no;;;;;;;;;;;;;;;rheo;1;0;0;0;0;;;;;eury;1;0;;;;eury;;;;;;;;;tol;Cobitis;elongata,,
"Cobitis;elongatoides;383;;;;intol;;;;;;;;;;;;;;;;;;invert;ben;;;;;;0;0;1;0;1;0;tol;II;;;;;;;;;;;;;;nom;1;0;0;;im;no;;;;0;0;0;1;0;0;0;0;0;psam;fra;""rheo A"";1;0;0;0;0;;;;;eury;;;;;;eury;;0;0;0;1;0;0;0;im;Cobitis;elongatoides",,
Cobitis;strumicae;481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis;strumicae,,
Cobitis;taenia;236;1;0;0;intol;1;0;0;;;;;;;;;;;;1;0;0;invert;ben;0;1;0;0;0;0;1;0;0;1;0;im;;0;1;0;;;;;;;;0;1;0;pot;1;0;0;;im;no;;;;0;0;0;1;0;0;0;0;0;;fra;rheo;1;0;0;0;0;0;0;0;1;eury;0;1;0;0;1;eury;im;0;0;0;1;0;0;0;im;Cobitis;taenia,,
Misgurnus;anguillicaudatus;365;1;0;0;im;0;1;0;;;;;;;;;;;;1;0;0;invert;ben;0;1;0;0;0;0;0;1;;;;tol;;;;;;;;;;;;0;1;0;;;;;;tol;no;;;;;;;;;;;;;;sin;eury;1;0;0;0;0;;;;;limno;1;0;;;;eury;;;;;;;;;tol;Misgurnus;anguillicaudatus,,
Misgurnus;fossilis;264;0;0;1;tol;0;1;0;;;;;;;;;;;;0;1;0;invert;ben;;;;;;0;0;1;0;0;1;intol;II;0;1;0;;;;1;0;0;0,000007*(x^3,0943);;;;nom;1;0;0;;tol;no;0;0;1;0;0;0;1;0;0;0;0;0;phy;sin;limno;1;0;0;0;0;0;0;0;1;limno;;;0;0;1;eury;tol;0;0;0;1;0;0;0;tol;Misgurnus;fossilis
"Sabanejewia;balcanica;410;;;;im;1;0;0;;;;;;;;;;;;;;;invert;ben;;;;;;0;0;1;0;1;0;intol;II;;;;;;;;;;;;;;nom;1;0;0;;intol;no;;;;0;0;0;1;0;0;0;0;0;phylith;fra;""rheo B"";1;0;0;0;0;;;;;eury;1;0;;;;eury;im;0;0;0;1;0;0;0;im;Sabanejewia;balcanica",,
Sabanejewia;baltica;560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sabanejewia;baltica,,
Sabanejewia;larvata;561;;;;;;;;;;;;;;;;;;;;;;invert;ben;;;;;;;;;;;;intol;;;;;;;;;;;;;;;;;;;;im;no;;;;;;;;;;;;;;sin;eury;;;;;;;;;;limno;;;;;;steno;intol;;;;;;;;im;Sabanejewia;larvata,,
"Abramis;brama;210;0;0;1;intol;0;0;1;;;;;;;;;;;;0;1;0;omni;ben;0;0;0;1;0;0;1;0;1;0;0;tol;;0;1;0;0;1;0;;;;;0;0;1;pot;1;0;0;;tol;no;1;0;0;0;0;0;0;1;0;0;0;0;phylith;sin;""rheo B"";0;1;0;0;0;1;0;0;0;eury;1;0;1;0;0;eury;tol;0;0;0;0;1;0;0;tol;Abramis;brama",,
Alburnoides;bipunctatus;215;1;0;0;intol;1;0;0;;;;;;;;;;;;0;0;1;invert;wc;0;1;0;0;0;0;1;0;0;1;0;intol;;0;1;0;;;;;;;0,00001*(x^3,"0125);1;0;0;pot;1;0;0;;intol;no;0;1;0;1;0;0;0;0;0;0;0;0;lith;fra;""rheo A"";0;1;0;0;0;1;0;0;0;rheo;0;1;1;0;0;steno;im;0;0;0;1;0;0;0;intol;Alburnoides;bipunctatus"
Alburnus;alburnus;216;0;1;0;tol;1;0;0;;;;;;;;;;;;0;1;0;omni;wc;0;1;0;0;0;0;1;0;1;0;0;tol;;0;0;1;0;1;0;;;;;1;0;0;pot;1;0;0;;im;no;0;0;1;0;0;0;0;1;0;0;0;0;phylith;fra;eury;0;1;0;0;0;0;0;1;0;eury;0;1;1;0;0;eury;im;0;0;0;0;1;0;0;tol;Alburnus;alburnus,,
Alburnus;arborella;585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Alburnus;arborella,,
"Ballerus;ballerus;369;1;0;0;intol;0;1;0;;;;;;;;;;;;;;;planct;wc;0;0;0;1;0;0;1;0;0;1;0;;;0;1;0;;;;;;;;0;1;0;pot;1;0;0;;im;no;;;;0;0;0;0;1;0;0;0;0;lith;;""rheo B"";0;1;0;0;0;;;;;eury;1;0;;;;eury;im;0;0;0;1;0;0;0;tol;Ballerus;ballerus",,
Ballerus;sapa;211;0;1;0;intol;0;1;0;;;;;;;;;;;;;;;invert;ben;0;0;0;0;1;0;1;0;0;1;0;;;;;;;;;;;;0,000004*(x^3,"1895);0;1;0;pot;1;0;0;;tol;no;;;;1;0;0;0;0;0;0;0;0;lith;;""rheo B"";0;1;0;0;0;1;0;0;0;rheo;1;0;1;0;0;eury;tol;0;0;0;1;0;0;0;tol;Ballerus;sapa"
"Barbus;balcanicus;376;;;;;;;;;;;;;;;;;;;;;;invert;;;;;;;0;1;0;;;;;II;;;;;;;;;;;;;;pot;;;;;;no;;;;;;;;;;;;;lith;;""rheo A"";1;0;0;0;0;;;;;rheo;;;;;;eury;;;;;;;;;;Barbus;balcanicus",,
"Barbus;barbus;227;1;0;0;intol;0;0;1;;;;;;;;;;;;0;1;0;invert;ben;0;0;0;0;1;0;1;0;0;1;0;intol;V;0;1;0;0;0;1;;;;;0;0;1;pot;0;1;0;;im;no;;;;1;0;0;0;0;0;0;0;0;lith;fra;""rheo A"";1;0;0;0;0;0;0;1;0;rheo;1;0;1;0;0;eury;im;0;0;0;1;0;0;0;intol;Barbus;barbus",,
"Barbus;meridionalis;228;;;;intol;0;1;0;0;0;1;0;0;0;0;0;0;""toxic substances"";loser;;;;invert;ben;;;;;;0;1;0;;;;intol;;;;;;;;;;;;1;0;0;nom;;;;;im;no;;;;;;;;;;;;;;sin;rheo;1;0;0;0;0;0;1;0;0;rheo;0;1;0;1;0;eury;intol;;;;;;;;intol;Barbus;meridionalis",,
Barbus;peloponnesius;378;;;;intol;1;0;0;;;;;;;;;;;;;;;invert;ben;1;0;0;0;0;0;1;0;;;;intol;;;;;;;;;;;;1;0;0;;;;;;intol;no;;;;;;;;;;;;;;fra;rheo;1;0;0;0;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;im;Barbus;peloponnesius,,
Barbus;plebejus;330;;;;;0;0;1;;;;;;;;;;;;;;;omni;ben;0;0;0;0;1;0;1;0;;;;im;II;;;;;;;;;;;0;0;1;pot;;;;;im;no;;;;;;;;;;;;;lith;sin;rheo;1;0;0;0;0;;;;;rheo;;;;;;eury;im;;;;;;;;im;Barbus;plebejus,,
Blicca;bjoerkna;229;0;1;0;intol;0;1;0;;;;;;;;;;;;1;0;0;omni;ben;0;0;1;0;0;0;0;1;1;0;0;tol;;0;1;0;0;1;0;;;;;1;0;0;pot;1;0;0;;tol;no;0;1;0;0;0;0;1;0;0;0;0;0;phylith;pro;eury;1;0;0;0;0;1;0;0;0;eury;0;1;1;0;0;eury;tol;0;0;0;0;1;0;0;tol;Blicca;bjoerkna,,
Carassius;auratus;230;0;1;0;tol;0;1;0;;;;;;;;;;;;0;1;0;omni;ben;0;0;1;0;0;0;0;1;;;;tol;;1;0;0;1;0;0;;;;;0;0;1;pot;;;;;tol;no;0;1;0;;;;;;;;;;phy;fra;eury;1;0;0;0;0;1;0;0;0;limno;0;1;0;1;0;eury;tol;;;;;;;;tol;Carassius;auratus,,
Carassius;carassius;231;0;0;1;im;0;1;0;;;;;;;;;;;;0;1;0;omni;ben;1;0;0;0;0;0;0;1;0;0;1;tol;;1;0;0;0;1;0;;;;0,00003*(x^2,8133);;;;pot;1;0;0;;tol;no;0;1;0;0;0;0;1;0;0;0;0;0;phy;fra;limno;1;0;0;0;0;1;0;0;0;limno;0;1;0;0;1;eury;tol;0;0;0;0;1;0;0;tol;Carassius;carassius
Carassius;gibelio;232;;;;im;0;1;0;;;;;;;;;;;;1;0;0;omni;ben;;;;;;0;1;0;1;0;0;tol;;;;;;;;;;;0,00001*(x^3,0179);0;1;0;pot;1;0;0;;tol;no;0;1;0;0;0;0;0;1;0;0;0;0;phylith;fra;eury;0;1;0;0;0;1;0;0;0;limno;1;0;0;0;1;eury;tol;0;0;0;0;1;0;0;tol;Carassius;gibelio
Chondrostoma;nasus;234;0;1;0;intol;0;1;0;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;1;0;0;1;0;intol;;0;1;0;;;;;;;0,00004*(x^2,"8721);0;0;1;pot;0;1;0;potamo;intol;no;1;0;0;1;0;0;0;0;0;0;0;0;lith;sin;""rheo A"";1;0;0;0;0;0;1;0;0;rheo;1;0;1;0;0;eury;intol;0;1;0;0;0;0;0;intol;Chondrostoma;nasus"
Chondrostoma;soetta;332;;;;;0;1;0;;;;;;;;;;;;;;;invert;ben;0;0;1;0;0;0;1;0;;;;intol;;;;;;;;;;;;0;1;0;;;;;;im;no;;;;;;;;;;;;;;sin;rheo;1;0;0;0;0;;;;;rheo;;;;;;eury;im;;;;;;;;im;Chondrostoma;soetta,,
