"Valid taxon;;;""absolute fecundity (no. oocytes)"";;;""acid tolerance"";""body length (cm)"";;;""climate change affected species according to <a href=""""http://www.climate-and-freshwater.info"""" target=""""_blank"""">www.climate-and-freshwater.info</a> (caf)"";;;;;;;;;;;""egg diameter (mm)"";;;""feeding diet (adult)"";""feeding habitat"";""female maturity (years)"";;;;;habitat;;;""habitat (fiBS)"";;;""habitat degradation tolerance"";""HD threat"";""incubation period (days)"";;;""larval length (cm)"";;;""larval stage duration (days)"";;;""length weight regression"";""life span (years)"";;;migration;""migration (fiBS)"";;;;""oxygen tolerance"";""parental care"";""relative fecundity (no. oocytes/g)"";;;""reproduction (fiBS)"";;;;;;;;;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";salinity;;;;;""shape factor"";;;;""spawning habitat"";""spawning time"";;""swimming factor"";;;""temperature tolerance"";""toxicity tolerance"";""trophy (fiBS)"";;;;;;;""water quality tolerance – general"";""Imported file"";",,
Ctenopharyngodon;idella;240;0;0;1;im;0;0;1;;;;;;;;;;;;0;0;1;phyto;wc;0;0;0;0;1;0;0;1;;;;tol;;1;0;0;0;1;0;;;;0,000007*(x^2,9989);0;0;1;pot;;;;;im;no;0;1;0;;;;;;;;;;pel;sin;eury;1;0;0;0;0;0;0;1;0;rheo;1;0;0;1;0;eury;tol;;;;;;;;tol;Ctenopharyngodon;idella
Cyprinus;carpio;241;0;0;1;tol;0;0;1;;;;;;;;;;;;0;1;0;omni;ben;0;0;1;0;0;0;1;0;1;0;0;tol;;1;0;0;0;1;0;1;0;0;;0;0;1;pot;1;0;0;;tol;no;0;1;0;0;0;0;1;0;0;0;0;0;phy;sin;eury;0;1;0;0;0;1;0;0;0;limno;0;1;0;1;0;eury;tol;0;0;0;0;1;0;0;tol;Cyprinus;carpio,,
"Gobio;gobio;247;1;0;0;intol;1;0;0;;;;;;;;;;;;1;0;0;invert;ben;1;0;0;0;0;0;1;0;0;1;0;tol;;0;0;1;0;1;0;;;;;1;0;0;pot;1;0;0;;intol;no;0;0;1;0;0;0;0;0;1;0;0;0;psam;fra;""rheo A"";0;1;0;0;0;0;0;1;0;rheo;0;1;1;0;0;eury;im;0;0;0;1;0;0;0;im;Gobio;gobio",,
Gobio;obtusirostris;887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio;obtusirostris,,
Hypophthalmichthys;molitrix;249;1;0;0;im;0;0;1;;;;;;;;;;;;;;;phyto;wc;;;;;;0;1;0;;;;tol;;1;0;0;;;;;;;;0;1;0;pot;;;;;im;no;0;1;0;;;;;;;;;;pel;fra;eury;0;1;0;0;0;1;0;0;0;rheo;1;0;0;1;0;eury;im;;;;;;;;tol;Hypophthalmichthys;molitrix,,
Hypophthalmichthys;nobilis;250;;;;;0;0;1;;;;;;;;;;;;1;0;0;phyto;wc;0;0;0;0;1;0;1;0;;;;;;1;0;0;;;;;;;;;;;pot;;;;;;no;0;1;0;;;;;;;;;;pel;;eury;1;0;0;0;0;1;0;0;0;rheo;1;0;0;1;0;eury;;;;;;;;;;Hypophthalmichthys;nobilis,,
Leucaspius;delineatus;255;1;0;0;im;1;0;0;;;;;;;;;;;;1;0;0;omni;wc;1;0;0;0;0;1;0;0;0;0;1;im;;1;0;0;0;1;0;0;1;0;0,000007*(x^3,072);1;0;0;pot;1;0;0;;im;prot;0;0;1;0;0;0;1;0;0;0;0;0;phy;fra;limno;0;1;0;0;0;0;0;1;0;limno;0;1;1;0;0;eury;im;0;0;0;0;1;0;0;tol;Leucaspius;delineatus
Leuciscus;burdigalensis;514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leuciscus;burdigalensis,,
Leuciscus;idus;257;0;0;1;intol;0;1;0;;;;;;;;;;;;0;0;1;omni;wc;0;0;0;1;0;0;1;0;0;1;0;im;;0;0;1;0;1;0;;;;0,00002*(x^2,"8811);0;1;0;pot;1;0;0;;im;no;0;0;1;0;0;0;0;1;0;0;0;0;phylith;sin;""rheo B"";0;1;0;0;0;1;0;0;0;eury;1;0;0;1;0;eury;im;0;0;0;0;1;0;0;im;Leuciscus;idus"
"Leuciscus;leuciscus;258;0;1;0;intol;1;0;0;;;;;;;;;;;;0;1;0;omni;wc;0;1;0;0;0;0;1;0;0;1;0;im;;0;0;1;0;0;1;1;0;0;;0;1;0;nom;1;0;0;;im;no;0;1;0;1;0;0;0;0;0;0;0;0;phylith;sin;""rheo A"";0;1;0;0;0;0;1;0;0;rheo;1;0;0;1;0;eury;im;0;0;0;0;1;0;0;im;Leuciscus;leuciscus",,
Parachondrostoma;toxostoma;235;0;1;0;;0;1;0;;;;;;;;;;;;0;1;0;;ben;0;0;0;1;0;0;1;0;;;;;;0;1;0;;;;;;;;0;1;0;pot;;;;;;;;;;;;;;;;;;;;;rheo;1;0;0;0;0;0;1;0;0;;1;0;0;1;0;;;;;;;;;;;Parachondrostoma;toxostoma,,
"Pelecus;cultratus;401;1;0;0;intol;0;0;1;;;;;;;;;;;;;;;planct;wc;0;0;1;0;0;1;0;0;1;0;0;im;""II V"";1;0;0;;;;;;;0",00002*(x^2,8937);0;1;0;dia;0;1;0;potamo;intol;no;;;;0;0;1;0;0;0;0;0;0;pel;sin;limno;0;1;0;0;0;;;;;limno;1;0;;;;eury;;0;0;0;1;0;0;0;im;Pelecus;cultratus
Petroleuciscus;borysthenicus;403;1;0;0;;0;1;0;;;;;;;;;;;;;;;;ben;0;0;1;0;0;0;1;0;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;limno;1;0;0;0;0;;;;;;1;0;;;;;;;;;;;;;;Petroleuciscus;borysthenicus,,
Phoxinus;phoxinus;272;1;0;0;intol;1;0;0;;;;;;;;;;;;0;1;0;invert;wc;0;1;0;0;0;0;0;1;0;1;0;intol;;0;1;0;1;0;0;;;;0,0003*(x^2,4107);1;0;0;pot;1;0;0;;intol;no;0;0;1;1;0;0;0;0;0;0;0;0;lith;fra;eury;0;1;0;0;0;0;0;1;0;eury;0;1;1;0;0;steno;im;0;0;0;1;0;0;0;im;Phoxinus;phoxinus
Phoxinus;septimaniae;952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus;septimaniae,,
Pimephales;promelas;273;1;0;0;tol;1;0;0;;;;;;;;;;;;0;1;0;omni;ben;1;0;0;0;0;0;0;1;;;;tol;;1;0;0;0;1;0;;;;;1;0;0;;;;;;tol;prot;;;;;;;;;;;;;;fra;limno;1;0;0;0;0;1;0;0;0;limno;1;0;0;0;1;eury;;;;;;;;;tol;Pimephales;promelas,,
Protochondrostoma;genei;331;;;;;1;0;0;;;;;;;;;;;;;;;;ben;0;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;rheo;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;Protochondrostoma;genei,,
Pseudorasbora;parva;278;1;0;0;intol;1;0;0;;;;;;;;;;;;1;0;0;omni;wc;1;0;0;0;0;0;1;0;1;0;0;tol;;0;1;0;0;1;0;;;;0,00002*(x^2,8006);1;0;0;nom;1;0;0;;tol;prot;1;0;0;0;0;0;0;1;0;0;0;0;phylith;fra;eury;1;0;0;0;0;0;0;1;0;eury;0;1;0;1;0;eury;tol;0;0;0;0;1;0;0;tol;Pseudorasbora;parva
Rhodeus;amarus;353;1;0;0;im;1;0;0;;;;;;;;;;;;;;;omni;wc;0;0;1;0;0;0;1;0;1;0;0;intol;II;;;;;;;;;;0,00002*(x^2,908);1;0;0;nom;1;0;0;;im;prot;;;;0;0;0;0;0;0;1;0;0;ostra;fra;limno;1;0;0;0;0;;;;;limno;1;0;;;;eury;intol;0;0;0;0;1;0;0;intol;Rhodeus;amarus
Rhynchocypris;percnurus;969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rhynchocypris;percnurus,,
Romanogobio;albipinnatus;246;0;1;0;;1;0;0;;;;;;;;;;;;;;;;ben;;;;;;0;1;0;0;1;0;;;;;;;;;;;;;1;0;0;;1;0;0;;;;;;;0;0;0;0;0;1;0;0;0;;;rheo;1;0;0;0;0;0;0;0;1;;;;1;0;0;;;0;0;0;1;0;0;0;;Romanogobio;albipinnatus,,
Romanogobio;belingi;973;;;;intol;;;;;;;;;;;;;;;;;;invert;ben;;;;;;;;;;;;tol;;;;;;;;;;;;;;;;;;;;intol;no;;;;;;;;;;;;;;fra;rheo;;;;;;;;;;rheo;;;;;;eury;;;;;;;;;im;Romanogobio;belingi,,
Romanogobio;kesslerii;977;;;;;1;0;0;;;;;;;;;;;;;;;invert;;1;0;0;0;0;0;1;0;;;;;II;;;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;lith;;rheo;1;0;0;0;0;;;;;;;;;;;eury;;;;;;;;;;Romanogobio;kesslerii,,
"Romanogobio;uranoscopus;388;;;;intol;1;0;0;;;;;;;;;;;;;;;invert;ben;1;0;0;0;0;0;1;0;0;1;0;;II;;;;;;;;;;;1;0;0;nom;1;0;0;;intol;no;;;;1;0;0;0;0;0;0;0;0;lith;;""rheo A"";1;0;0;0;0;;;;;rheo;1;0;;;;eury;;0;0;0;1;0;0;0;im;Romanogobio;uranoscopus",,
Romanogobio;vladykovi;981;;;;intol;;;;;;;;;;;;;;;;;;invert;ben;;;;;;;;;;;;im;II;;;;;;;;;;0,00004*(x^2,"8437);;;;;;;;;intol;no;;;;;;;;;;;;;lith;fra;""rheo A"";;;;;;;;;;rheo;;;;;;eury;;;;;;;;;im;Romanogobio;vladykovi"
"Rutilus;meidingeri;983;;;;;0;0;1;;;;;;;;;;;;;;;omni;wc;0;0;0;1;0;0;1;0;0;1;0;;""II V"";;;;;;;;;;;0;0;1;pot;0;1;0;potamo;;;;;;1;0;0;0;0;0;0;0;0;lith;;""rheo B"";1;0;0;0;0;;;;;;;;;;;eury;;0;0;0;1;0;0;0;;Rutilus;meidingeri",,
"Rutilus;pigus;343;1;0;0;intol;0;1;0;;;;;;;;;;;;;;;omni;ben;0;1;0;0;0;0;1;0;;;;im;""II V"";;;;;;;;;;;0;1;0;nom;;;;;intol;no;;;;;;;;;;;;;lith;sin;""rheo A"";1;0;0;0;0;;;;;rheo;1;0;;;;eury;tol;;;;;;;;im;Rutilus;pigus",,
Rutilus;rutilus;281;0;1;0;im;0;1;0;;;;;;;;;;;;1;0;0;omni;wc;0;0;0;1;0;0;1;0;1;0;0;tol;;0;1;0;0;1;0;;;;;0;0;1;pot;1;0;0;;tol;no;0;0;1;0;0;0;0;1;0;0;0;0;phylith;sin;eury;0;1;0;0;0;1;0;0;0;eury;1;0;1;0;0;eury;tol;0;0;0;0;1;0;0;tol;Rutilus;rutilus,,
Rutilus;virgo;986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;1;0;0;;;;;;;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;;Rutilus;virgo,,
Scardinius;erythrophthalmus;291;0;0;1;tol;0;1;0;;;;;;;;;;;;0;1;0;omni;wc;0;1;0;0;0;0;1;0;0;0;1;im;;0;1;0;0;1;0;;;;;0;0;1;pot;1;0;0;;tol;no;0;0;1;0;0;0;1;0;0;0;0;0;phy;fra;limno;0;1;0;0;0;1;0;0;0;limno;1;0;0;1;0;eury;im;0;0;0;0;1;0;0;tol;Scardinius;erythrophthalmus,,
Scardinius;hesperidicus;1047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scardinius;hesperidicus,,
Squalius;cephalus;256;0;1;0;intol;1;0;0;;;;;;;;;;;;0;1;0;omni;wc;0;0;1;0;0;0;1;0;0;1;0;;;1;0;0;0;0;1;0;1;0;;0;1;0;pot;1;0;0;;im;no;1;0;0;1;0;0;0;0;0;0;0;0;lith;;eury;0;1;0;0;0;0;1;0;0;rheo;0;1;0;1;0;eury;im;0;0;0;0;1;0;0;tol;Squalius;cephalus,,
Squalius;squalus;1067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius;squalus,,
"Telestes;souffia;259;1;0;0;intol;1;0;0;;;;;;;;;;;;0;1;0;omni;wc;0;0;1;0;0;0;1;0;0;1;0;;II;;;;;;;;;;;;;;nom;1;0;0;;intol;no;0;1;0;1;0;0;0;0;0;0;0;0;lith;;""rheo A"";1;0;0;0;0;0;0;1;0;rheo;1;0;1;0;0;steno;im;0;0;0;1;0;0;0;intol;Telestes;souffia",,
Tinca;tinca;294;0;0;1;tol;0;1;0;;;;;;;;;;;;1;0;0;omni;ben;0;0;1;0;0;0;0;1;0;0;1;intol;;1;0;0;0;1;0;1;0;0;;0;0;1;pot;1;0;0;;tol;no;0;1;0;0;0;0;1;0;0;0;0;0;phy;fra;limno;0;1;0;0;0;1;0;0;0;limno;1;0;0;0;1;eury;tol;0;0;0;0;1;0;0;tol;Tinca;tinca,,
"Vimba;vimba;296;0;0;1;intol;0;1;0;;;;;;;;;;;;0;1;0;omni;ben;0;0;0;1;0;0;1;0;0;1;0;intol;;1;0;0;;;;;;;;1;0;0;dia;1;0;0;;im;no;0;1;0;1;0;0;0;0;0;0;0;0;lith;fra;""rheo B"";0;1;0;0;0;1;0;0;0;rheo;1;0;0;1;0;eury;im;0;0;0;1;0;0;0;im;Vimba;vimba",,
"Barbatula;barbatula;226;0;1;0;intol;1;0;0;;;;;;;;;;;;1;0;0;invert;ben;1;0;0;0;0;0;0;1;0;1;0;im;;0;0;1;1;0;0;;;;;1;0;0;pot;1;0;0;;im;no;0;0;1;0;0;0;0;0;1;0;0;0;psam;fra;""rheo A"";1;0;0;0;0;0;0;0;1;eury;1;0;0;0;1;eury;im;0;0;0;1;0;0;0;im;Barbatula;barbatula",,
Aphanius;fasciatus;300;;;;;1;0;0;;;;;;;;;;;;;;;invert;wc;1;0;0;0;0;0;0;1;;;;im;;0;1;0;;;;;;;;1;0;0;nom;;;;;tol;no;;;;;;;;;;;;;;pro;limno;0;0;0;1;0;;;;;limno;1;0;;;;eury;im;;;;;;;;im;Aphanius;fasciatus,,
Gambusia;affinis;244;1;0;0;;1;0;0;;;;;;;;;;;;0;1;0;invert;wc;1;0;0;0;0;0;1;0;;;;tol;;0;0;1;0;0;1;;;;;1;0;0;pot;;;;;tol;prot;;;;;;;;;;;;;;pro;limno;0;1;0;0;0;0;1;0;0;limno;0;1;0;0;1;eury;tol;;;;;;;;tol;Gambusia;affinis,,
"Gambusia;holbrooki;873;;;;tol;1;0;0;0;0;1;0;0;0;0;0;0;""increased water temperaure"";winner;;;;invert;wc;1;0;0;0;0;0;1;0;;;;tol;;0;0;1;;;;;;;;1;0;0;pot;;;;;tol;prot;;;;;;;;;;;;;;pro;limno;0;1;0;0;0;;;;;limno;0;1;;;;eury;tol;;;;;;;;tol;Gambusia;holbrooki",,
Poecilia;reticulata;276;1;0;0;;1;0;0;;;;;;;;;;;;0;1;0;;wc;1;0;0;0;0;0;1;0;;;;tol;;;;;;;;;;;;1;0;0;nom;;;;;;;;;;;;;;;;;;;;;eury;0;1;0;0;0;0;0;1;0;;0;1;0;0;1;;;;;;;;;;;Poecilia;reticulata,,
"Esox;lucius;243;0;0;1;tol;0;0;1;1;1;0;1;1;0;0;0;0;""increased water temperature "";loser;0;0;1;pisci;wc;0;0;1;0;0;0;0;1;1;0;0;tol;;0;1;0;0;0;1;0;1;0;;0;0;1;pot;1;0;0;;im;no;1;0;0;0;0;0;1;0;0;0;0;0;phy;sin;eury;0;1;0;0;0;0;0;0;1;limno;1;0;0;1;0;eury;im;0;0;0;0;0;1;0;im;Esox;lucius",,
Umbra;krameri;414;1;0;0;tol;1;0;0;;;;;;;;;;;;;;;invert;ben;1;0;0;0;0;0;1;0;;;;intol;II;0;1;0;;;;;;;;1;0;0;nom;;;;;tol;prot;;;;;;;;;;;;;phy;sin;limno;1;0;0;0;0;;;;;limno;1;0;;;;eury;tol;;;;;;;;tol;Umbra;krameri,,
Umbra;pygmaea;295;;;;tol;1;0;0;;;;;;;;;;;;0;1;0;invert;ben;1;0;0;0;0;0;0;1;;;;tol;;0;1;0;0;1;0;;;;;1;0;0;nom;;;;;tol;prot;;;;;;;;;;;;;;sin;limno;1;0;0;0;0;0;0;1;0;limno;;;0;0;1;eury;tol;;;;;;;;tol;Umbra;pygmaea,,
Lota;lota;262;0;0;1;intol;0;0;1;;;;;;;;;;;;1;0;0;pisci;ben;0;0;0;1;0;0;0;1;0;1;0;im;;0;0;1;1;0;0;;;;;0;0;1;pot;0;1;0;potamo;intol;no;0;0;1;0;1;0;0;0;0;0;0;0;lithpel;sin;eury;0;1;0;0;0;0;0;0;1;eury;1;0;;;;steno;im;0;0;1;0;0;0;0;im;Lota;lota,,
Gasterosteus;aculeatus;245;1;0;0;im;1;0;0;;;;;;;;;;;;0;1;0;omni;wc;1;0;0;0;0;0;1;0;1;0;0;tol;;1;0;0;1;0;0;;;;0,000002*(x^3,332);1;0;0;pot;0;1;0;ana;im;prot;0;0;1;0;0;0;1;0;0;0;0;0;phy;pro;limno;0;0;0;1;0;0;0;1;0;limno;0;1;1;0;0;eury;im;0;0;0;0;1;0;0;tol;Gasterosteus;aculeatus
Gasterosteus;gymnurus;875;;;;im;;;;;;;;;;;;;;;;;;omni;wc;;;;;;;;;;;;im;;;;;;;;;;;;;;;;;;;;im;prot;;;;;;;;;;;;;;fra;eury;;;;;;;;;;eury;;;;;;eury;tol;;;;;;;;tol;Gasterosteus;gymnurus,,
Pungitius;laevis;966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pungitius;laevis,,
Pungitius;platygaster;405;;;;;1;0;0;;;;;;;;;;;;;;;;ben;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;;;;;;;;;;;;;;limno;0;0;0;1;0;;;;;;1;0;;;;;;;;;;;;;;Pungitius;platygaster,,
Pungitius;pungitius;279;1;0;0;tol;1;0;0;;;;;;;;;;;;1;0;0;omni;wc;1;0;0;0;0;0;1;0;1;0;0;im;;0;0;1;1;0;0;;;;;1;0;0;nom;1;0;0;;im;prot;;;;0;0;0;1;0;0;0;0;0;phy;fra;eury;0;0;0;1;0;0;0;1;0;limno;1;0;1;0;0;eury;im;0;0;0;0;1;0;0;tol;Pungitius;pungitius,,
Osmerus;eperlanus;268;0;1;0;im;1;0;0;;;;;;;;;;;;1;0;0;plankt;wc;1;0;0;0;0;1;0;0;0;1;0;im;;0;0;1;0;1;0;;;;;1;0;0;dia;0;1;0;ana;im;no;;;;1;0;0;0;0;0;0;0;0;;sin;eury;0;0;0;1;0;0;0;0;1;eury;1;0;1;0;0;steno;im;0;0;0;0;0;0;1;im;Osmerus;eperlanus,,
Salaria;fluviatilis;282;1;0;0;im;1;0;0;;;;;;;;;;;;1;0;0;invert;ben;;;;;;0;0;1;;;;im;;0;1;0;1;0;0;;;;;1;0;0;;;;;;im;prot;0;1;0;;;;;;;;;;;fra;limno;1;0;0;0;0;0;1;0;0;eury;0;1;0;0;1;eury;im;;;;;;;;im;Salaria;fluviatilis,,
Lepomis;gibbosus;254;0;1;0;im;1;0;0;;;;;;;;;;;;1;0;0;omni;wc;0;0;0;1;0;0;1;0;1;0;0;tol;;1;0;0;1;0;0;0;1;0;;0;1;0;pot;1;0;0;;tol;prot;;;;0;0;0;0;1;0;0;0;0;phylith;fra;limno;1;0;0;0;0;1;0;0;0;limno;0;1;0;0;1;eury;im;0;0;0;1;0;0;0;tol;Lepomis;gibbosus,,
Micropterus;salmoides;263;0;1;0;im;0;1;0;;;;;;;;;;;;0;1;0;pisci;wc;0;1;0;0;0;0;1;0;;;;tol;;1;0;0;1;0;0;1;0;0;;0;1;0;nom;;;;;im;prot;1;0;0;;;;;;;;;;phy;fra;eury;1;0;0;0;0;1;0;0;0;limno;1;0;0;0;1;eury;im;;;;;;;;tol;Micropterus;salmoides,,
