NOM,WATERWAY,NAVIGATION,fid,id
Lock Rivage-en-Pot,Ourthe,48.5 x 5.1 m — height : 3.13,"172","172"
Lock Kremenchuk,,,"442","442"
Olen Lock (smaller chambers),Albertkanaal,,"773","773"
Lock Neuves-Maisons,Moselle,"185 x 12 m — height : 7,1 m","100","100"
Lock La Cave,Haute-Seine,"185 x 12 m two chambers — height : 2,05 m","90","90"
Lock Wanne-Eickel RB,Rhein-Herne Kanal,163 x 10 m — height : 8.1 m,"779","779"
Marckolsheim Locks,Rhin,185 x 24 m and 185 x 12 (parallel chambers) — height : 13.80 m,"198","198"
Lock Volta Grimana,,,"391","391"
Lock Mühlhausen,Main-Donau Kanal,,"220","220"
Lock Steinbach,Main,300 x 12 m — height : 5.14 m,"209","209"
Lock Wintrich,Mosel,170  x 12 m — height : 7.5 m,"116","116"
Lock Rothensee,Mittellandkanal - Elbe Branch,190 x 12.5m — height : 16 m,"640","640"
Lock Wilhering-Ottensheim (parallel chambers),Donau,,"231","231"
Lock Gleesen,Dortmund-Ems Kanal,163 x 10 m — height : 6.37 m,"716","716"
Lock Stvanice (small chamber),,115 x 11 m,"604","604"
Lock Les Fontinettes,Liaison Dunkerque-Escaut,"144,6 x 12 m","138","138"
Lock Wien-Freudenau,Donau,,"239","239"
Lock Serrig,Saar,,"112","112"
Lock Kriegenbrunn,Main-Donau Kanal,,"212","212"
Lock Genk,Albertkanaal,200 x 24 m — height : 10.1 m@@2 small chambers 136 x 16 m,"739","739"
Lock Kanev,,,"448","448"
Lock Gabcikovo,,,"248","248"
Lock Redzin (parallel chambers),,,"407","407"
Locks Heel,Maas,142 x 16 m,"747","747"
Lock Ratowice,,,"405","405"
Lock Heumen,Maas-Waalkanaal,270 x 16 m,"838","838"
Lock Obr¡stv¡,,,"613","613"
Lock Turov,,,"606","606"
Lock Marquion-Bourlon,Canal Seine-Nord Europe,195 x 12 m,"130","130"
Locks Grave,Maas,,"838","838"
Lock Vezoult,Petite Seine,"121 x 10,5 m — height : 1,16 m","916","916"
Lock Vrane nad Vltavou (large chamber),,134 x 12 m,"604","604"
Lock Ybbs-Persenbeug (parallel chambers),Donau,,"234","234"
Lock Vrane nad Vltavou (small chamber),,85 x 12 m,"604","604"
Lock Stechovice,,118.4 x 12 m,"594","594"
Lock Würzburg,Main,300 x 12 m — height : 2.75 m,"207","207"
Lock Obernau,Main,12 x 2.5 m — height : 4.01 m,"182","182"
Lock Wusterwitz,Elbe-Havel-Kanal,225 x 12 m — height : 2.65-5.09 m,"956","956"
Lock Molenbeek,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 4.7 m,"174","174"
Lock Knetzgau,Main,300 x 12 m — height : 4.3 m,"214","214"
Lock Srpski Itebej,,,"309","309"
Lock Koenigsmacker,Moselle,176 x 12 m,"106","106"
Lock Rothenfels,Main,300 x 12 m — height : 5.25 m,"206","206"
Lock Offenbach (parallel chambers),Main,345.5 x 11.5 m — height : 3.18 m,"180","180"
Lock 6 L'Île-Adam,Oise,"185 x 12 m and 125 x 12 (two chambers) — height : 1,5 m","84","84"
Lock Ottendorf,Main,12.5 x 2.5 m — height : 7.6 m,"214","214"
Lock Geisling,Donau,,"222","222"
Lock Schlüsselburg,Mittelweser,214 x 12.3 m,"701","701"
Lock Oberhausen,Rhein-Herne Kanal,190 x 12 m — height : 4.1 m@@double chamber,"784","784"
Lock Lot,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 3.7 m,"158","158"
Lock Strullendorf (7.41m),Main-Donau Kanal,,"216","216"
Lock Dörverden,Mittelweser,214 x 12.3 m,"690","690"
Lock Melk,Donau,,"235","235"
Lock Meiderich,Ruhr-Wasserstraße,311 x 12.8 m,"783","783"
Lock Couzon,Saône,185 x 12 m — height : 4 m,"34","34"
Locks Bougival,Seine,"220 x 17 m and 112 x 12 (two chambers) — height : 3,25 m","87","87"
Lock Przegalina,,,"531","531"
Lock Marolles,Petite Seine,185 x 12 m,"915","915"
Lock Mirejovice,,133 x 20 m@@69 x 11 m,"612","612"
Lock Krummesse,Elbe-Lübeck-Kanal,80 x 12 m — height : 2.75 m,"655","655"
Lock Straubing,Donau,,"224","224"
Lock Bollène,Rhône,195 x 12 m,"26","26"
Lock Visé,Canal de Haccourt à Visé,55 x 7.5 m — height : 5.7 m,"173","173"
Lock Toul,Moselle,185 x 12 m,"102","102"
Lock Venhaus,Dortmund-Ems Kanal,163 x 10 m — height : 3.5 m,"709","709"
Lock 17 Mikolajewo,,57.4 x 9.6 m,"561","561"
Lock Merseburg-Meuschau,Saale,,"630","630"
Lock 21 Pont Tremblant,Canal des Vosges,"38,5 x 5,2 m — height : 2,9 m","71","71"
Lock Dietesheim,Main,300.45 x 12 m — height : 3.77 m,"179","179"
Locks Sambeek,Maas,260 x 16 m@@142 x 16 m,"829","829"
Lock 8 Fontenelles,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 0,74 m","51","51"
Lock Volkerak,Volkerak,,"827","827"
Lock Terneuzen (Middensluis),Kanaal Terneuzen-Gent,140 x 18 m,"761","761"
Lock Ormes,Saône,"185 x 12 m — height : 2,53 m","38","38"
Lock Zeran,,,"507","507"
Lock Marchienne-au-Pont,Canal de Charleroi à Bruxelles,85.09 x 11.5 m — height : 7 m,"161","161"
Locks Prinses Marijke,Amsterdam-Rijnkanaal,260 x 180 m@@parallel chambers,"837","837"
Lock Hollage,Mittellandkanal - Osnabrück branch,82 x 10 m — height : 4.75 m,"706","706"
Lock Kostomlatky,,,"609","609"
Lock Tolhuis,Verbindingskanaal,,"756","756"
Lock Greifenstein,Donau,,"240","240"
Lock 8,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 5,12 m","63","63"
Lock Oudenaarde,Bovenschelde,125 x 14 m — height : 1.74 m,"156","156"
Lock 62 Moulin des Malades,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,25 m","44","44"
Lock Aschach (parallel chambers),Donau,,"230","230"
Lock San Leone,,,"382","382"
Lock 20 Raydans,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,3 m","50","50"
Lock Eisenhüttenstadt,Oder-Spree Kanal,127 x 12 m — height : 14 m@@parallel chambers,"573","573"
Lock Groszowice (small chamber),,,"398","398"
Lock Lobkovice,,,"613","613"
Locks Méricourt,Seine,185 x 12 m and 160 x 17 and 141 x 12 (three chambers),"91","91"
lock Duffel,Nethe Kanaal,136 x 16 m@@55 x 7.5 m,"770","770"
Lock Kembs,Rhin,185 x 24 m — height : 13.2 m@@185 x 12 m@@ (parallel chambers),"857","857"
Lock Mornimont,Sambre,111.9 x 12.5 m — height : 4.6 m,"168","168"
Lock Himmelstadt,Main,12.3 x 2.5 m — height : 4.3 m,"208","208"
Lock 6 Pouillot,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,67 m","65","65"
Lock 59 Saint-Vit,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,55 m","44","44"
Lock Offenbach,Main,20.2 x 3.5 m — height : 3.18 m,"180","180"
Lock Kanzem,Saar,,"112","112"
Lock Roselies,Sambre,111.9 x 12.5 m — height : 3.6 m,"161","161"
Lock Dietesheim,Main,19.65 x 4 m — height : 3.77 m,"179","179"
Lock Waulsort,Meuse,100 x 12 m — height : 2.4 m,"170","170"
Lock Böllberg (Halle),Saale,,"631","631"
Lock Jaulnes,Petite Seine,"121 x 10,5 m — height : 1,27 m","916","916"
Lock 58 Roset-Fluans,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3,8 m","46","46"
Lock Rischmühlenschleuse,Saale,,"630","630"
Lock Besigheim (parallel chambers),Neckar,106 x 12 m — height : 6.3 m@@parallel chambers,"186","186"
Lock,Haren-Rütenbrockerkanal,,"717","717"
Lock Bernburg,Saale,103 x 12 m,"633","633"
Lock Modrany,,192 x 12 m,"604","604"
Lock Hun,Meuse,100 x 12 m — height : 2.02 m,"169","169"
Lock 40,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 40 Baumerousse,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 4,2 m","48","48"
Lock 55 Chamouilley,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,2 m","72","72"
Lock 10 Fléchambault,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,87 m","77","77"
Lock 5 Ablancourt,Canal latéral à la Marne,"38,5 x 5,2 m — height : 1,93 m","74","74"
Lock 30 Plaine de Pompierre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,7 m","49","49"
Lock Écuelle,Saône,"185 x 12 m — height : 3,2 m","40","40"
Lock Harrbach,Main,12.5 x 2.5 m — height : 4.9 m,"208","208"
Lock Metz-Nord (small chamber),Moselle,"40,5 x 6 m","105","105"
Lock Vaugris,Rhône,195 x 12 m,"32","32"
Fessenheim Locks,Rhin,"185 x 24 m and 185 x 12 (parallel chambers) — height : 15,1 m","56","56"
Lock 27,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,75 m","52","52"
Lock 14 Hérant,Aisne,"46 x 7,95 m — height : 1,35 m","80","80"
Lock Hasselt,Albertkanaal,200 x 24 m — height : 10.1 m@@2 small chambers 136 x 16 m,"739","739"
Lock Lovosice (large chamber),,,"614","614"
Lock Terneuzen (Oostsluis),Kanaal Terneuzen-Gent,277 x 24 m,"761","761"
Lock Flaesheim,Wesel-Datteln Kanal,220 x 12 m — height : 4 m@@112 x 12 m,"782","782"
Lock 19 Wrzesczyna,,57.4 x 9.6 m,"559","559"
Locks Prinses Maxima,Maas,,"846","846"
Lock Villiers,Petite Seine,"121 x 10,5 m — height : 2,53 m","916","916"
Lock 12,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,64 m","52","52"
Lock 4 Conflandey,Saône,"38,5 x 5,2 m — height : 1,78 m","68","68"
Lock 24 Héronnière,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock Roudnice nad Labem (large chamber),,,"617","617"
Lock 14 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 1,79 m","99","99"
Lock Opole,,,"398","398"
Lock 26 Forge Quénot,Canal des Vosges,"38,5 x 5,2 m — height : 3,5 m","71","71"
Lock Terherne,Prinses Margrietkanaal,260 x 16 m@@(gates are kept open),"799","799"
Lock Lipki,,,"405","405"
Locks Prinses Irene,Amsterdam-Rijnkanaal,260 x 24 m@@350 x 18 m,"837","837"
Lock 49 Breil,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 2,9 m","73","73"
Locks Prins Bernhard,Amsterdam-Rijnkanaal,260 x 24 m@@350 x 18 m,"847","847"
Locks Notre-Dame-de-la-Garenne,Seine,185 x 24 m and 185 x 12 (two chambers),"91","91"
Lock 18,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 3,03 m","52","52"
Lock 24 Courchamp,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,77 m","62","62"
Lock Zwanowice (parallel chambers),,,"404","404"
Lock Esslingen,Neckar,110 x 12 m — height : 5.2 m@@parallel chambers,"192","192"
Lock 41 Saint-Sauveur,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 2,9 m","59","59"
Lock 48 Curel,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,1 m","73","73"
Lock (parallel chambers),,,"402","402"
Lock 15 Dommarien,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","63","63"
Lock 21 Drawsko,,57.4 x 9.6 m,"559","559"
Lock Düthe,Dortmund-Ems Kanal,165 x 12 m — height : 2.2 m@@165 x 10 m,"719","719"
Lock Kitzingen,Main,12.5 x 2.5 m — height : 3.66 m,"210","210"
Lock 22 Isse,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,68 m","908","908"
Lock Papenpadsluis,Papenpadsloot,,"819","819"
Lock Zaandam,Zaan,,"819","819"
Lock Hüntel,Dortmund-Ems Kanal,223 x 12 m — height : 2.9 m@@165 x 10 m,"717","717"
Lock 29 Vincey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock Avignon,Rhône,195 x 12 m,"24","24"
Lock 24 Condé-sur-Marne,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,63 m","908","908"
Lock 8,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,95 m","52","52"
Lock 26 Avière,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 17 Vaudemanges,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,48 m","908","908"
Lock 37,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 15 Côte-Olie,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Fankel,Mosel,170  x 12 m — height : 7 m,"120","120"
Lock Enkirch,Mosel,18  x 3.4 m — height : 7.5 m,"118","118"
Lock Tìnec nad Labem,,,"607","607"
Lock Anderlecht,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 3.7 m,"158","158"
Lock 17,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,71 m","52","52"
Lock Panheel,Kanaal Wessem-Nederweert,150 x 12.6 m,"747","747"
Lock Rodde,Dortmund-Ems Kanal,163 x 10 m — height : 3.8 m,"712","712"
Lock 69 Luxémont,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,17 m","909","909"
Lock Gundelsheim,Neckar,110 x 12 m — height : 4.2 m@@parallel chambers,"188","188"
Lock Sint-Baafsvijve,Leie,136 x 16 m — height : 2.39 m,"155","155"
Lock St. Aldegund,Mosel,170  x 12 m — height : 7 m,"119","119"
Lock 4,Canal du Rhône au Rhin,"40,7 x 6,28 m — height : 2,61 m","51","51"
Lock Talange (large chamber),Moselle,"176 x 12 m and 40,50 x 6,00 (small chamber)","105","105"
Lock Hohenwarthe,Mittellandkanal,190 x 12.5 m@@parallel chambers,"640","640"
Lock 32 Fontenelle,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","61","61"
Lock Duisburg-Meiderich,Rhein-Herne Kanal,190 x 12 m,"783","783"
Lock Sint-Baafsvijve,Leie,43.2 x 6 m — height : 2.39 m,"152","152"
Lock 29 Saint-Seine,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Wloclawek,,,"515","515"
Lock Selice,,,"253","253"
Lock Alsleben,Saale,103 x 13 m,"632","632"
Lock 11 Thivet,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,35 m","65","65"
Lock Ars-sur-Moselle,Moselle,176 x 12 m — height : 4 m,"104","104"
Lock 75 Saône,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3,1 m","42","42"
Lock 29 Riaucourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,9 m","64","64"
Lock 29 Goulisse,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,75 m","49","49"
Lock Schipdonk,Afleidingskanaal der Leie,44.05 x 6.07 m — height : 0.61 m,"756","756"
Lock 60 Hoëricourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","72","72"
Lock Büssau,Elbe-Lübeck-Kanal,80 x 12 m — height : 1.50 m,"655","655"
Lock Eefde,Kanaal Zutphen-Enschede,133 x 12 m,"815","815"
Lock 60 Dampierre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,36 m","44","44"
Lock 74 Laperrière,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,7 m","42","42"
Lock Hofen,Neckar,110 x 12 m — height : 6.8 m@@parallel chambers,"190","190"
Lock,Vecht - link with Amsterdam-Rijnkanaal,,"845","845"
Lock 34 Vouécourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,9 m","66","66"
Lock 73 La Tuilerie,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,6 m","42","42"
Lock Aldingen,Neckar,110 x 12 m — height : 3.6 m@@parallel chambers,"190","190"
Lock 21 Colombier-Fontaine,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,6 m","50","50"
Lock 41 Fourbanne,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,85 m","48","48"
Lock 41 Mussey,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,4 m","73","73"
Lock Himmelstadt,Main,300 x 12 m — height : 4.3 m,"208","208"
Lock Hirschhorn,Neckar,110 x 12 m — height : 5.3 m@@parallel chambers,"185","185"
Lock Orne/Richemont (small chamber),Moselle,,"105","105"
Lock Kostolna,,,"263","263"
Lock 16 Wez,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,47 m","908","908"
Lock 30,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,76 m","52","52"
Lock 32 Clerval,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2 m","49","49"
Lock 20 Wielen,,57.4 x 9.6 m,"559","559"
Lock Les Grands Malades,Meuse,200 x 25 m — height : 3.9 m,"166","166"
Lock 47 Autigny,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 2,85 m","73","73"
Lock,,,"492","492"
Lock Metz-Nord (large chamber),Moselle,176 x 12 m,"105","105"
Lock Limmer,Mittellandkanal - Linden Branch,83.04 x 10 m — height : 7.85 m,"686","686"
Lock 11 Le Château,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,8 m","63","63"
Lock Klingenberg,Main,300 x 12 m — height : 4 m,"184","184"
Lock Liepe,Finow Kanal,,"592","592"
Lock 22 Igney,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock Goßmannsdorf,Main,300 x 12 m — height : 3.4 m,"210","210"
Lock Rudziniec (parallel chambers),,,"396","396"
Lock 39 Renève,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","61","61"
Lock Kleinostheim (parallel chambers),Main,298.9 x 12 m — height : 6.8 m@@298.6 x 12 m,"182","182"
Lock Müden,Mosel,18  x 3.2 m — height : 6.5 m,"121","121"
Lock 12 Piépape,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","63","63"
Lock 41 Carrières de Selles,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock Riedenburg,Main-Donau Kanal,,"218","218"
Lock 41,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 6 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 20 Val des Écoliers,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,83 m","64","64"
Lock Wipfeld,Main,12.5 x 2.5 m — height : 4.25 m,"211","211"
Lock Hilter,Dortmund-Ems Kanal,165 x 12 m — height : 1.5 m@@165 x 10 m,"719","719"
Lock Seurre,Saône,185 x 12 m,"43","43"
Lock Goeulzin,Liaison Dunkerque-Escaut,"144,6 x 12 m two chambers","134","134"
Lock Oostende,Kanaal van Gent naar Oostende,,"150","150"
Lock Wintrich,Mosel,18  x 3.4 m — height : 7.5 m,"116","116"
Lock 26,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,79 m","52","52"
Lock Ooigem,Kanaal van Roeselare naar de Leie,115 x 12.5 — height : 7.45 m,"152","152"
Lock Dettelbach,Main,300 x 12 m — height : 5.5 m,"211","211"
Lock 46 Deluz,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 6,37 m (2 chambers)","47","47"
Lock Suresnes,Seine,"187 x 18 m and 176 x 17 (two chambers) — height : 3,17 m","88","88"
Locks Merelbeke,Ringvaart,180 x 18 m,"762","762"
Lock Brondolo,,,"392","392"
Lock 10 Pré-Meunier,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","63","63"
Locks Lanaye,Canal de Lanaye/Kanaal van Ternaaien,136 x 16 m — height : 13.94 m@@55 x 7.5 m,"746","746"
Lock Keersluis,Bovenschelde,,"762","762"
Lock Dubnica,,,"263","263"
Lock Sülfeld (South),Mittellandkanal,225 x 12 m — height : 9 m,"678","678"
Lock 24 Blussans,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,6 m","50","50"
Lock 20 Saint-Martin,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,72 m","908","908"
Lock Dörverden (small lock),Mittelweser,85 x 12.3 m,"690","690"
Locks Holtenau - new,Nord-Ostsee-Kanal,,"657","657"
Lock Zeltingen,Mosel,170  x 12 m — height : 6 m,"117","117"
Lock Dörpen,Küstenkanal,104 x 11.9 m,"720","720"
Lock Gervans,Rhône,195 x 12 m,"30","30"
Lock Gerlachshausen,Main,300 x 12 m — height : 6.3 m,"211","211"
Lock Weurt (west chamber),Maas-Waalkanaal,262 x 16 m,"833","833"
Lock 39 Pont-du-Bois,Canal des Vosges,"38,5 x 5,2 m — height : 2,75 m","70","70"
Lock,Saar,,"108","108"
Lock Apach (large chamber),Moselle,176 x 12 m,"107","107"
Lock Oldenburg,Küstenkanal,102 x 12 m,"699","699"
Lock 68 Écriennes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","909","909"
Lock 17 Prairie Gérard,Canal des Vosges,"38,5 x 5,2 m — height : 3,45 m","99","99"
Lock Lengfurt,Main,300 x 12 m — height : 3.99 m,"206","206"
Lock Thieu,Canal du Centre historique,41.06 x 5.2 m — height : 6 m,"159","159"
Lock 3 Moulin Rouge,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,67 m","65","65"
Lock Mettlach,Saar,,"110","110"
Lock 15 Carandeau,Aisne,"46 x 7,95 m — height : 1,54 m","82","82"
Lock Weurt (east chamber),Maas-Waalkanaal,262 x 16 m,"833","833"
Lock Kolin,,,"608","608"
Lock Brandìs nad Labem,,,"610","610"
Lock 37,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,88 m","53","53"
