NOM,WATERWAY,NAVIGATION,fid,id
Lock Montmacq,Canal Seine-Nord Europe,195 x 12 m,"940","940"
Lock Krotzenburg (parallel chambers),Main,303.75 x 12 m — height : 2.74 m@@303.3 x 12 m,"179","179"
Lock 12 Nowe,,57.4 x 9.6 m,"560","560"
Lock Hilpolstein,Main-Donau Kanal,,"217","217"
Lock Petershagen,Mittelweser,214 x 12.3 m,"702","702"
Lock 36 Montmotier,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock 11 Krostkowo,,57.4 x 9.6 m,"557","557"
Lock 59 Quatre Cheminées,Canal de la Meuse,"100 x 12 m — height : 2,73 m","165","165"
Lock 40 Rouvroy,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,85 m","73","73"
Lock 19 Luzy,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,04 m","64","64"
Lock Katy (small chamber),,,"398","398"
Lock Don,Canal de la Deûle,"144,6 x 12 m","144","144"
Lock 39 Lonot,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,7 m","48","48"
Lock Üfingen,Mittellandkanal - Salzgitter Branch,223 x 12 — height : 9 m@@parallel chambers,"679","679"
Lock 46 Corre,Canal des Vosges,"38,5 x 5,2 m — height : 2,4 m","70","70"
Lock Roztoky,,133 x 20 m@@59 x 11 m,"611","611"
Lock 50 Chevillon,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","72","72"
Lock 22 Cusey,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock 29,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,84 m","52","52"
Lock Graven,Kanaal Plassendale-Nieuwpoort,45 x 8 m,"150","150"
Lock 11 Kortrijk,Kanaal Bossuit-Kortrijk,38.7 x 5.18 m — height : 2.726 m,"148","148"
Lock 20 Badin,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Lengfurt,Main,12.5 x 2.5 m — height : 3.99 m,"206","206"
Lock Dendermonde,Dender,168 x 16 m,"734","734"
Lock Weser Upper,Mittellandkanal - South Weser Junction Canal,82 x 10 m — height : 6.3 m,"704","704"
Lock 59 Noue,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","72","72"
Lock 71 Désert,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,33 m","909","909"
Lock 12 Huon,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,36 m","77","77"
Lock Datteln,Wesel-Datteln Kanal,220 x 12 m — height : 7.5 m@@112 x 12 m,"755","755"
Lock 39 Gudmont,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","66","66"
Lock Borgharen,Maas van Borgharen naar Wessem,,"746","746"
Lock 46 Bussy,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","73","73"
Lock 5 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","99","99"
Lock Dolanky,,133 x 11 m@@52 x 11 m,"611","611"
Lock Lembeek,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 7.27 m,"158","158"
Lock Heubach,Main,12 x 2.5 m — height : 4 m,"178","178"
Lock Obernau,Main,299.5 x 12 m — height : 4.01 m,"182","182"
Lock Bolzum,Mittellandkanal - Hildesheim Branch,82 x 12 m — height : 8 m,"683","683"
Lock Dinant,Meuse,100 x 12 m — height : 2 m,"170","170"
Lock Verbindingsluis,Boudewijnkanaal,115 x 12 m — height : 0.4 m,"154","154"
Lock 5 Boran,Oise,"185 x 12 m and 125 x 12 (two chambers) — height : 1,5 m","84","84"
Lock Hessigheim,Neckar,110 x 12 m — height : 6.2 m@@parallel chambers,"191","191"
Lock Amerongen,Neder-Rijn,260 x 18 m,"837","837"
Lock Uelzen,Elbe-Seitenkanal,185 x 12 m — height : 23 m,"672","672"
Lock Westschleuse Hohensaaten,Havel-Oder-Wasserstraße,170 x 11.92 m — height : 0.9 m,"576","576"
Lock Sülfeld (North),Mittellandkanal,225 x 12 m — height : 9 m,"678","678"
Lock Zaporizhya (parallel chambers),,,"431","431"
Lock Wedtlenstedt,Mittellandkanal - Salzgitter Branch,223 x 12 — height : 9.3 m@@parallel chambers,"679","679"
Lock Dracé,Saône,"185 x 12 m — height : 2,9 m","36","36"
Lock Werries,Datteln-Hamm Kanal,102 x 11.65 m — height : 5.1 m,"775","775"
Lock 70 Frignicourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,13 m","909","909"
Lock Velky Osek,,,"608","608"
Lock 9 Villegusien,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,25 m","63","63"
Lock 11 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Geesthacht (double lock),Elbe - Sclhleusenkanal,220 x 25 m,"674","674"
Lock 22 Chamarandes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,83 m","64","64"
Lock Regensburg,Donau,,"221","221"
Lock 6 Osawa Gora,,57.4 x 9.6 m,"556","556"
Lock Meppen,Dortmund-Ems Kanal,165 x 12 m — height : 7.5 m@@100 x 12 m,"717","717"
Lock Kain,Haut Escaut,124.5 x 14 m — height : 1.69 m,"137","137"
Lock 58 Saint-Dizier,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,11 m","72","72"
Lock Custines,Moselle,"176 x 12 m — height : 3,85 m","103","103"
Lock 6 Loivre,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,62 m","77","77"
Lock Veletov,,,"607","607"
Lock Grand Carré,Canal de la Deûle,"144,6 x 12 m","142","142"
Lock 20,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,9 m","52","52"
Lock Leerstetten,Main-Donau Kanal,,"217","217"
Lock Rothenburg,Saale,103 x 12 m,"632","632"
Lock 39,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 3 m","53","53"
Lock 28 Pouilly,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Diepenbeek (smaller chamber),Albertkanaal,,"739","739"
Lock 31 Roôcourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,45 m","66","66"
Lock 24,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,91 m","52","52"
Lock Wernsdorf,Oder-Spree Kanal,115 x 9.4 m — height : 4.51 m@@65 x 8.6 m,"603","603"
Lock 15,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,6 m","52","52"
Lock Rockenau,Neckar,110 x 12 m — height : 6 m@@parallel chambers,"187","187"
Lock 28 Portieux,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 2 Moulin-Chapeau,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,67 m","63","63"
Lock Montignies-sur-Sambre,Sambre,112 x 12.5 m — height : 2.2 m,"161","161"
Lock Hérinnes,Haut Escaut/Bovenschelde,125 x 14 m — height : 1.955 m,"146","146"
Lock Tailfer,Meuse,100 x 12 m — height : 2.04 m,"169","169"
Lock Garstadt,Main,300 x 12 m — height : 4.75 m,"213","213"
Lock Schweinfurt,Main,300 x 12 m — height : 4.6 m,"213","213"
Lock 58 Routelle,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,4 m","46","46"
Lock 70 Belvoye,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,5 m","41","41"
Lock 5 Prady,,57.4 x 9.6 m,"556","556"
Lock Villey-le-Sec,Moselle,"185 x 12 m — height : 7,2 m","100","100"
Lock Governolo,,,"382","382"
Lock Passau (parallel chambers),Donau,,"227","227"
Lock 9 Rolampont,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,59 m","65","65"
Lock 1 Venette,Oise,"185 x 12 m — height : 1,4 m","83","83"
Lock Dettelbach,Main,12.5 x 2.5 m — height : 5.5 m,"211","211"
Lock Szonowo,,57.3 x 9.5 m,"526","526"
Lock,Maximakanaal,,"848","848"
Lock 46,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 36 Hyèvre-Magny,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 0,8 m","48","48"
Lock Bialej Gorze,,57.3 x 9.5 m,"528","528"
Lock 13 Walkowice,,57.4 x 9.6 m,"560","560"
Lock Valpagliaro (large chamber),,,"387","387"
Lock 40 Cheuge,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","61","61"
Lock 23 Vaxoncourt,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Ship lock Wintam,Zeekanaal Brussel-Schelde,250 x 25 m,"771","771"
Lock 9 Naklo Zachod,,57.4 x 9.6 m,"522","522"
Lock Douai,Liaison Dunkerque-Escaut,"144,6 x 12 m and 91.60 x 12 (two chambers)","134","134"
Lock Obourg,Canal du Centre,96 x 12 m — height : 5 m,"157","157"
Lock Kochendorf,Neckar,110 x 12 m — height : 8 m@@parallel chambers,"189","189"
Lock Hensies,Canal de Pommeroeul à Condé,149 x 12.5 m — height : 4.6 m,"157","157"
Lock 13 Vereux,Saône,"38,5 x 5,2 m — height : 1,68 m","60","60"
Lock Januszkowice (small chamber),,,"401","401"
Lock 3 Montureux,Saône,"38,5 x 5,2 m — height : 2,12 m","69","69"
Lock Randersacker,Main,300 x 12 m — height : 3.3 m,"207","207"
Lock Lehnitz,Havel-Oder-Wasserstraße,134 x 12 m — height : 5.65 m@@85 x 10 m,"593","593"
Lock 11 Fontenoy,Aisne,"46 x 7,95 m — height : 1,95 m","79","79"
Lock 36 Froncles,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 35 m","66","66"
Lock 7 Scey-sur-Saône,Saône,"38,5 x 5,2 m — height : 1,68 m","68","68"
Lock 6 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 45 Vougécourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock Monsin,Canal de Monsin,136 x 16 m — height : 5.7 m,"173","173"
Lock 10 Marivées,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,62 m","51","51"
Lock 4 Creil,Oise,"185 x 12 m and 125 x 12 (two chambers) — height : 1,45 m","81","81"
Lock Ivoz-Ramet,Meuse,135.5 x 14 m — height : 4.45 m@@55 x 7.5 m,"172","172"
Lock Beukers,Beukersgracht,,"807","807"
Lock 14 Romanowo,,57.4 x 9.6 m,"561","561"
Lock Nürnberg,Main-Donau Kanal,,"219","219"
Ooigem triple staircase locks,Kanaal van Roeselare naar de Leie,height : 7.45 m,"152","152"
Lock,Maximakanaal,,"754","754"
Lock Cuinchy,Liaison Dunkerque-Escaut,"144,6 x 12 m two chambers","143","143"
Lock 40 Bois de Selles,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock,Dortmund-Ems Kanal,,"721","721"
Lock 7 La Briche,Canal Saint-Denis,"62,5 x 8,2 m and 38,90 x 5,20 (two chambers) — height : 4,68 m","88","88"
Lock 12 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 7 Saint-Germain-la-Ville,Canal latéral à la Marne,"38,5 x 5,2 m — height : 2,74 m","74","74"
Lock 39,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 23 Usine de Thunimont,Canal des Vosges,"38,5 x 5,2 m — height : 3,01 m","71","71"
Lock 5 Port-sur-Saône,Saône,"38,5 x 5,2 m","68","68"
Lock 45 Rongeant,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","73","73"
Lock Obertürkheim,Neckar,110 x 12 m — height : 8.35 m@@parallel chambers,"192","192"
Lock 19 Longues-Raies,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,69 m","908","908"
Lock 9 Kortrijk,Kanaal Bossuit-Kortrijk,38.70 x 5.18 m — height : 2.75 m,"148","148"
Lock 7 Jozefinki,,57.4 x 9.6 m,"522","522"
Lock 23 Coupé,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,73 m","908","908"
Lock 34 Branne,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3,59 m","49","49"
Ooigem triple staircase locks,Kanaal van Roeselare naar de Leie,height : 7.45 m,"152","152"
Lock Valpagliaro  (small chamber),,,"387","387"
Lock 2 mol (larger chamber),Kanaal Bocholt-Herentals,55 x 7.5 m — height : 4.3 m@@,"740","740"
Lock 9 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 13 Thiélouze,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 31 Pompierre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,8 m","49","49"
Lock 28 Mouillerys,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,1 m","64","64"
Lock,,,"491","491"
Lock Wallstadt,Main,12 x 2.5 m — height : 4 m,"184","184"
Lock 19 Charmoise-l'Orgueilleux,Canal des Vosges,"38,5 x 5,2 m — height : 2,7 m","71","71"
Lock 3 Sarron,Oise,"185 x 12 m and 125 x 12 (two chambers) — height : 1,4 m","81","81"
Lock Pagny-sur-Moselle,Moselle,176 x 12 m,"104","104"
Lock Born (parallel chambers),Julianakanaal,142 x 16 m — height : 11 m@@136 x 14 m,"751","751"
Ooigem triple staircase locks,Kanaal van Roeselare naar de Leie,height : 7.45 m,"152","152"
Locks Evergem,Ringvaart,136 x 16 m — height : 1.16 m,"756","756"
Lock 2 Moen,Kanaal Bossuit-Kortrijk,,"147","147"
Lock Goßmannsdorf,Main,12.5 x 25 m — height : 3.4 m,"210","210"
Lock 14 Rigny,Saône,"38,5 x 5,2 m — height : 1,86 m","60","60"
Lock Bollingerfähr,Dortmund-Ems Kanal,165 x 12 m — height : 1.8 m@@163 x 10 m,"720","720"
Locks Brunsbüttel - new,Nord-Ostsee-Kanal,,"667","667"
Lock Denderbelle,Dender,,"734","734"
Lock Landesbergen,Mittelweser,214 x 12.3 m,"701","701"
IJmuiden - middensluis,Noordzeekanaal,,"819","819"
Lock 28 Basse Jean-Melin,Canal des Vosges,"38,5 x 5,2 m — height : 3,5 m","71","71"
Lock Gaarkeuken,Van Starkenborghkanaal,190 x 16 m,"789","789"
Lock Hengelo,Kanaal Zutphen-Enschede,133 x 12 m,"793","793"
Lock 11 Étupes,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,12 m","51","51"
Lock 9 Courcy,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,63 m","77","77"
Lock 1 Schijndel,Zuidwillemsvaart,110 x 12.6 m,"754","754"
Lock 2 Miejska,,57.4 x 9.6 m,"556","556"
Lock Heilbronn,Neckar,110 x 12 m — height : 3.2 m@@parallel chambers,"189","189"
Lock 14 Port de Thiélouze,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 23 Colombier-Châtelot,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,35 m","50","50"
Lock 1 Trusey,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","99","99"
Lock 5 Humes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,67 m","65","65"
Lock Koblenz,Mosel,122.5  x 12 m,"123","123"
Lock Randersacker,Main,12.5 x 2.5 m — height : 3.3 m,"207","207"
Lock Steti (small chamber),,,"617","617"
Lock 34,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 38 Villiers,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,51 m","66","66"
Lock Gosselies,Canal de Charleroi à Bruxelles,87.7 x 11.5 m — height : 7 m,"161","161"
Lock Vallelepri,,,"386","386"
Lock 1 Venette,Oise,"125 x 12 m — height : 1,4 m","83","83"
Lock Niffer,Canal du Rhône au Rhin,190 x 12 m,"857","857"
Lock Gimritz (Halle),Saale,,"631","631"
Lock 28,Canal de Charleroi à Bruxelles - old line,,"162","162"
Lock 28 Appenans,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,5 m","49","49"
Lock 57 Osselle,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,8 m","46","46"
Lock 5 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 38 Raie-aux-Chèvres,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,05 m","48","48"
Lock Genk (smaller chambers),Albertkanaal,,"739","739"
Lock 7 Graincourt-lès-Havrincourt,Canal du Nord,"91,6 x 6 m — height : 5,79 m","130","130"
Lock Berkenthin,Elbe-Lübeck-Kanal,80 x 12 m — height : 1.75 m,"655","655"
Lock 25 Romagne,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,53 m","62","62"
Lock 1 Ormoy,Saône,"38,5 x 5,2 m — height : 3,3 m","69","69"
Lock Aingeray,Moselle,"185 x 12 m — height : 7,3 m","102","102"
Lock 3 Mol,Kanaal Bocholt-Herentals,55 x 7.5 m — height : 4.31 m,"740","740"
Lock 14 Pommeraye,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,35 m","65","65"
Lock Berchem-Kerkhove,Bovenschelde,124.45 x 14.05 — height : 1.45 m,"156","156"
Lock 67 Jardin Philippe,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,8 m","41","41"
Lock 31 Manufacture des Bains,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","71","71"
Lock Steinbach,Main,12.5 x 2.5 m — height : 5.14 m,"209","209"
Lock Moislains,Canal Seine-Nord Europe,195 x 12 m,"98","98"
Lock Lehmen,Mosel,18  x 3.2 m — height : 7.45 m,"122","122"
Lock 28,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,77 m","52","52"
Lock Gdanska Glowa,,88.2 x 12.5 m,"531","531"
Lock 36 Blagny,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","61","61"
Lock 19 Auxonne,Saône,"40 x 8 m — height : 1,83 m","45","45"
Lock 3 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 31 Fontaine-Française,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","62","62"
Lock 25 Reclancourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,1 m","64","64"
Lock 22,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,96 m","52","52"
Gerstheim Locks,Rhin,185 x 24 m and 185 x 12 (parallel chambers) — height : 10.98 m,"194","194"
Lock Friedrichsfeld,Wesel-Datteln Kanal,220 x 12 m — height : 7.1 m@@112 x 12 m,"786","786"
Lock 9 Chantes,Saône,"38,5 x 5,2 m — height : 2,56 m","67","67"
Lock Ittre,Canal de Charleroi à Bruxelles,90 x 12 m — height : 14 m,"162","162"
Lock 9 Châlons,Canal latéral à la Marne,"38,5 x 5,2 m — height : 2,34 m","75","75"
Lock 16 Méloménil,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 10 Kortrijk,Kanaal Bossuit-Kortrijk,38.7 x 5.17 m — height : 1.85 m,"148","148"
Lock 66 Orconte,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","909","909"
Lock Oberesslingen,Neckar,110 x 12 m — height : 5.9 m@@parallel chambers,"192","192"
Lock Garstadt,Main,12.5 x 2.5 m — height : 4.75 m,"213","213"
Lock 38 Oisilly,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 2,5 m","61","61"
Lock 6 Chemilly,Saône,"38,5 x 5,2 m — height : 0,7 m","68","68"
Lock 11 Château d'Eau,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,01 m","77","77"
Lock Untertürkheim (parallel chambers),Neckar,110 x 12 m — height : 3.65 m@@parallel chambers,"192","192"
Lock Lauffen,Neckar,109 x 12 m — height : 8.4 m@@parallel chambers,"186","186"
Lock 9 Arsenal,Canal Saint-Martin,"42 x 7,8 m — height : 3,1 m","88","88"
Lock Behlendorf,Elbe-Lübeck-Kanal,80 x 12 m — height : 1.65 m,"655","655"
Lock 10 Juvigny,Canal latéral à la Marne,"38,5 x 5,2 m — height : 2,72 m","75","75"
Lock 18 Uzemain,Canal des Vosges,"38,5 x 5,2 m — height : 2,9 m","71","71"
Lock Fürstenwalde,Oder-Spree Kanal,67.7 x 9.4 m — height : 0.93 m@@67.6 x 8.54 m,"566","566"
Lock Quesnoy,Canal de la Deûle,"144,6 x 12 m","145","145"
Nieuwe Dammepoortsluis,Kanaal Brugge-Sluis,,"153","153"
Lock Klodnica (parallel chambers),,,"402","402"
Lock 2 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 16 Courcelles-lès-Montbéliard,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,25 m","50","50"
Lock Nymburk,,,"609","609"
Lock Courchelettes,Liaison Dunkerque-Escaut,"144,6 x 12 m and 91.60 x 12 (two chambers)","134","134"
Lock Isola Serafini,,,"377","377"
Lock 10 Gromadno,,57.4 x 9.6 m,"557","557"
Lock Noyon,Canal Seine-Nord Europe,195 x 12 m,"940","940"
Lock 33 Socourt,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 9 Allenjoie,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,98 m","51","51"
Lock 57 Marnaval,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","72","72"
Lock 16 Choilley,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Beaulieu,Petite Seine,"121 x 10,5 m — height : 0,54 m","927","927"
Lock Prelouc,,,"605","605"
Lock Delden,Kanaal Zutphen-Enschede,133 x 12 m,"791","791"
Lock 33 Pipée,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","71","71"
Lock Heubach,Main,300 x 12 m — height : 4 m,"178","178"
Lock 1 Lommel (larger chamber),Kanaal Bocholt-Herentals,55 x 7.5 m — height : 4.3 m,"740","740"
Lock 56 Thoraise,Canal du Rhône au Rhin,38.7 x .25 m — height : 3.68 m,"46","46"
